lval,op,rval,Estimate,Std. Err,z-value,p-value
Batchiness,~,Demand,0.6974212100949488,0.016120153203014017,43.26393187884137,0.0
Batchiness,~,Supply,0.6006992421820818,0.016471067751050568,36.46996364927816,0.0
Buffering,~,Demand,0.5064915710818464,0.025319763980978516,20.00380301500222,0.0
Buffering,~,Supply,0.7948604144327064,0.02391404844807324,33.23822045963574,0.0
Buffering,~,Batchiness,0.5073122373721697,0.027283418081768176,18.594159860511795,0.0
log_demand_total,~,Demand,1.0,-,-,-
log_demand_cv,~,Demand,0.6958932718301203,0.00871406539952258,79.85862394243539,0.0
log_lead_time_mean,~,Supply,1.0,-,-,-
log_lead_time_cv,~,Supply,0.6939041156541639,0.007795737964082755,89.0107028689487,0.0
log_eoq_mean,~,Batchiness,1.0,-,-,-
log_eoq_cv,~,Batchiness,0.5989067121903172,0.006394800965184351,93.65525453525925,0.0
log_interorder_time_days,~,Batchiness,0.7108739172125415,0.005825250744916506,122.03318762044076,0.0
log_rop_mean,~,Buffering,1.0,-,-,-
log_rop_cv,~,Buffering,0.7031654832562922,0.004236791865956188,165.966491944166,0.0
under_logodds_vs_normal,~,Demand,0.7963988047617919,0.03638635284615788,21.887294066187188,0.0
under_logodds_vs_normal,~,Supply,0.7104657919547444,0.04065273305880546,17.476458247211983,0.0
under_logodds_vs_normal,~,Batchiness,0.500725042258986,0.03557169933193693,14.076500466632172,0.0
under_logodds_vs_normal,~,Buffering,-0.818472430728527,0.034368391031679366,-23.814685707872627,0.0
over_logodds_vs_normal,~,Demand,-0.22266708101359498,0.03221080366000361,-6.912807372241057,4.751532500790745e-12
over_logodds_vs_normal,~,Supply,0.34792240485465636,0.03685475406067809,9.440367022186408,0.0
over_logodds_vs_normal,~,Batchiness,0.5219750794411414,0.033346443088454206,15.653096135048232,0.0
over_logodds_vs_normal,~,Buffering,0.6846658833428481,0.03148505886919487,21.7457393414939,0.0
Demand,~~,Supply,0.2801807212395176,0.023666644160227627,11.838633281964391,0.0
Demand,~~,Demand,1.0223924381860758,0.03428106979196711,29.823819512068543,0.0
Batchiness,~~,Batchiness,0.3619708414654903,0.013991232177823247,25.871262576384062,0.0
Buffering,~~,Buffering,0.3480339872556404,0.01411667389758068,24.654106892037255,0.0
Supply,~~,Supply,0.9460452590209076,0.03199440556252401,29.569083793182557,0.0
under_logodds_vs_normal,~~,over_logodds_vs_normal,-0.0062217466559603305,0.01284514754958839,-0.4843655264727056,0.6281264796002255
under_logodds_vs_normal,~~,under_logodds_vs_normal,0.5247107620386151,0.019386339432323665,27.066005103401658,0.0
log_demand_cv,~~,log_demand_cv,0.09619440041052536,0.0044589886811328885,21.57314298553282,0.0
log_demand_total,~~,log_demand_total,0.04136434480116549,0.006858226503405181,6.03134713830118,1.6259849022759454e-09
log_eoq_cv,~~,log_eoq_cv,0.08997994527400746,0.0032721562618733234,27.498670003918118,0.0
log_eoq_mean,~~,log_eoq_mean,0.06103510501744135,0.004208216056051921,14.503795477696952,0.0
log_interorder_time_days,~~,log_interorder_time_days,0.05867308978009683,0.0026979581955522795,21.74721975124565,0.0
log_lead_time_cv,~~,log_lead_time_cv,0.06359523269143627,0.0032839711928441193,19.3653442547386,0.0
log_lead_time_mean,~~,log_lead_time_mean,0.0526236601231932,0.005642772053197173,9.325852545124693,0.0
log_rop_cv,~~,log_rop_cv,0.0627514562287156,0.003258682579637783,19.256694899211084,0.0
log_rop_mean,~~,log_rop_mean,0.0654700061317181,0.005622777808949484,11.643712119634031,0.0
over_logodds_vs_normal,~~,over_logodds_vs_normal,0.5020795408706348,0.017050194719823525,29.447144099617905,0.0
